DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
21/9/2018/ 0:0:0 |2.84062|0.01050
21/9/2018/ 0:0:1 |2.24062|0.01275
21/9/2018/ 0:0:2 |2.85000|0.01163
21/9/2018/ 0:0:3 |2.21250|0.01650
21/9/2018/ 0:0:4 |2.84062|0.01163
21/9/2018/ 0:0:5 |2.26875|0.01087
21/9/2018/ 0:0:6 |2.40000|0.01200
21/9/2018/ 0:0:7 |2.85000|0.01050
21/9/2018/ 0:0:8 |2.23125|0.01388
21/9/2018/ 0:0:9 |2.32500|0.01350
21/9/2018/ 0:0:10 |2.74687|0.00975
21/9/2018/ 0:0:11 |2.27812|0.01350
21/9/2018/ 0:0:12 |2.77500|0.00975
21/9/2018/ 0:0:13 |2.20312|0.01463
21/9/2018/ 0:0:14 |2.40000|0.01463
21/9/2018/ 0:0:15 |2.83125|0.01050
21/9/2018/ 0:0:16 |2.30625|0.01575
21/9/2018/ 0:0:17 |2.30625|0.01388
21/9/2018/ 0:0:18 |2.33437|0.01125
21/9/2018/ 0:0:19 |2.25000|0.01613
21/9/2018/ 0:0:20 |2.85000|0.01125
21/9/2018/ 0:0:21 |2.25000|0.01425
21/9/2018/ 0:0:22 |2.26875|0.01500
21/9/2018/ 0:0:23 |2.78437|0.00975
21/9/2018/ 0:0:24 |2.18437|0.01350
21/9/2018/ 0:0:25 |2.35312|0.01312
21/9/2018/ 0:0:26 |2.33437|0.01125
21/9/2018/ 0:0:27 |2.22187|0.01275
21/9/2018/ 0:0:28 |2.73750|0.01087
21/9/2018/ 0:0:29 |2.29687|0.00975
21/9/2018/ 0:0:30 |2.18437|0.01275
21/9/2018/ 0:0:31 |2.65312|0.01050
21/9/2018/ 0:0:32 |2.27812|0.01350
21/9/2018/ 0:0:33 |2.17500|0.01463
21/9/2018/ 0:0:34 |2.59687|0.01200
21/9/2018/ 0:0:35 |2.50312|0.01012
21/9/2018/ 0:0:36 |2.17500|0.01237
21/9/2018/ 0:0:37 |2.84062|0.01087
21/9/2018/ 0:0:38 |2.29687|0.01275
21/9/2018/ 0:0:39 |2.26875|0.01350
21/9/2018/ 0:0:40 |2.35312|0.01050
21/9/2018/ 0:0:41 |2.17500|0.01200
21/9/2018/ 0:0:42 |2.82187|0.01087
21/9/2018/ 0:0:43 |2.49375|0.01125
21/9/2018/ 0:0:44 |2.16562|0.01350
21/9/2018/ 0:0:45 |2.80312|0.01425
21/9/2018/ 0:0:46 |2.29687|0.01763
21/9/2018/ 0:0:47 |2.75625|0.01050
21/9/2018/ 0:0:48 |2.16562|0.01388
21/9/2018/ 0:0:49 |2.54062|0.01237
21/9/2018/ 0:0:50 |2.50312|0.01125
21/9/2018/ 0:0:51 |2.25937|0.01312
21/9/2018/ 0:0:52 |2.85000|0.01125
21/9/2018/ 0:0:53 |2.30625|0.01087
21/9/2018/ 0:0:54 |2.20312|0.01350
21/9/2018/ 0:0:55 |2.14687|0.01725
21/9/2018/ 0:0:56 |2.48437|0.01200
21/9/2018/ 0:0:57 |2.48437|0.01125
21/9/2018/ 0:0:58 |2.19375|0.01688
21/9/2018/ 0:0:59 |2.38125|0.01312
21/9/2018/ 0:1:0 |2.55000|0.01200
21/9/2018/ 0:1:1 |2.20312|0.01275
21/9/2018/ 0:1:2 |2.27812|0.01087
21/9/2018/ 0:1:3 |2.19375|0.01275
21/9/2018/ 0:1:4 |2.78437|0.01087
21/9/2018/ 0:1:5 |2.25937|0.01613
21/9/2018/ 0:1:6 |2.33437|0.01425
21/9/2018/ 0:1:7 |2.60625|0.00975
21/9/2018/ 0:1:8 |2.16562|0.01463
21/9/2018/ 0:1:9 |2.37187|0.01575
21/9/2018/ 0:1:10 |2.27812|0.01425
21/9/2018/ 0:1:11 |2.83125|0.01087
21/9/2018/ 0:1:12 |2.29687|0.01913
21/9/2018/ 0:1:13 |2.22187|0.01388
21/9/2018/ 0:1:14 |2.87812|0.01050
21/9/2018/ 0:1:15 |2.33437|0.01425
21/9/2018/ 0:1:16 |2.86875|0.01050
21/9/2018/ 0:1:17 |2.24062|0.02175
21/9/2018/ 0:1:18 |2.33437|0.01350
21/9/2018/ 0:1:19 |2.64375|0.00937
21/9/2018/ 0:1:20 |2.17500|0.01350
21/9/2018/ 0:1:21 |2.67187|0.01125
21/9/2018/ 0:1:22 |2.51250|0.01012
21/9/2018/ 0:1:23 |2.24062|0.01613
21/9/2018/ 0:1:24 |2.37187|0.01050
21/9/2018/ 0:1:25 |2.35312|0.01237
21/9/2018/ 0:1:26 |2.70937|0.01050
21/9/2018/ 0:1:27 |2.42812|0.01237
21/9/2018/ 0:1:28 |2.26875|0.01350
21/9/2018/ 0:1:29 |2.86875|0.01125
21/9/2018/ 0:1:30 |2.28750|0.01087
21/9/2018/ 0:1:31 |2.69062|0.01087
21/9/2018/ 0:1:32 |2.66250|0.00937
21/9/2018/ 0:1:33 |2.17500|0.01388
21/9/2018/ 0:1:34 |2.76562|0.01500
21/9/2018/ 0:1:35 |2.39062|0.01575
21/9/2018/ 0:1:36 |2.38125|0.01312
21/9/2018/ 0:1:37 |2.83125|0.00975
21/9/2018/ 0:1:38 |2.79375|0.01125
21/9/2018/ 0:1:39 |2.48437|0.01163
21/9/2018/ 0:1:40 |2.20312|0.01350
21/9/2018/ 0:1:41 |2.88750|0.00975
21/9/2018/ 0:1:42 |2.58750|0.01275
21/9/2018/ 0:1:43 |2.21250|0.01312
21/9/2018/ 0:1:44 |2.88750|0.00937
21/9/2018/ 0:1:45 |2.20312|0.01125
21/9/2018/ 0:1:46 |2.82187|0.00975
21/9/2018/ 0:1:47 |2.29687|0.01050
21/9/2018/ 0:1:48 |2.42812|0.01312
21/9/2018/ 0:1:49 |2.50312|0.01125
21/9/2018/ 0:1:50 |2.19375|0.01425
21/9/2018/ 0:1:51 |2.82187|0.01163
21/9/2018/ 0:1:52 |2.39062|0.01163
21/9/2018/ 0:1:53 |2.54062|0.01200
21/9/2018/ 0:1:54 |2.49375|0.01087
21/9/2018/ 0:1:55 |2.16562|0.01388
21/9/2018/ 0:1:56 |2.79375|0.01087
21/9/2018/ 0:1:57 |2.79375|0.00937
21/9/2018/ 0:1:58 |2.58750|0.01125
21/9/2018/ 0:1:59 |2.25937|0.01087
21/9/2018/ 0:2:0 |2.19375|0.01463
21/9/2018/ 0:2:1 |2.39062|0.01312
21/9/2018/ 0:2:2 |2.82187|0.01050
21/9/2018/ 0:2:3 |2.70000|0.00975
21/9/2018/ 0:2:4 |2.33437|0.01050
21/9/2018/ 0:2:5 |2.27812|0.01087
21/9/2018/ 0:2:6 |2.48437|0.01275
21/9/2018/ 0:2:7 |2.63437|0.01050
21/9/2018/ 0:2:8 |2.70937|0.01012
21/9/2018/ 0:2:9 |2.31562|0.01087
21/9/2018/ 0:2:10 |2.25000|0.00937
21/9/2018/ 0:2:11 |2.30625|0.01050
21/9/2018/ 0:2:12 |2.20312|0.01050
21/9/2018/ 0:2:13 |2.77500|0.00900
21/9/2018/ 0:2:14 |2.31562|0.01087
21/9/2018/ 0:2:15 |2.19375|0.01425
21/9/2018/ 0:2:16 |2.27812|0.01575
