DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
18/9/2018/ 0:0:0 |2.49375|0.01125
18/9/2018/ 0:0:1 |3.17812|0.01050
18/9/2018/ 0:0:2 |2.55937|0.01425
18/9/2018/ 0:0:3 |2.56875|0.01163
18/9/2018/ 0:0:4 |3.12187|0.00900
18/9/2018/ 0:0:5 |2.60625|0.00937
18/9/2018/ 0:0:6 |2.67187|0.01087
18/9/2018/ 0:0:7 |3.08437|0.00975
18/9/2018/ 0:0:8 |2.58750|0.01388
18/9/2018/ 0:0:9 |2.92500|0.01163
18/9/2018/ 0:0:10 |2.89687|0.01087
18/9/2018/ 0:0:11 |2.50312|0.01312
18/9/2018/ 0:0:12 |3.04687|0.01200
18/9/2018/ 0:0:13 |2.73750|0.01087
18/9/2018/ 0:0:14 |2.68125|0.01050
18/9/2018/ 0:0:15 |2.57812|0.01125
18/9/2018/ 0:0:16 |3.07500|0.00937
18/9/2018/ 0:0:17 |2.66250|0.01050
18/9/2018/ 0:0:18 |2.61562|0.01350
18/9/2018/ 0:0:19 |3.22500|0.00937
18/9/2018/ 0:0:20 |2.60625|0.01087
18/9/2018/ 0:0:21 |2.63437|0.01388
18/9/2018/ 0:0:22 |3.13125|0.01163
18/9/2018/ 0:0:23 |2.68125|0.00937
18/9/2018/ 0:0:24 |2.50312|0.01425
18/9/2018/ 0:0:25 |3.23437|0.01163
18/9/2018/ 0:0:26 |2.60625|0.00975
18/9/2018/ 0:0:27 |2.53125|0.01125
18/9/2018/ 0:0:28 |2.55937|0.01125
18/9/2018/ 0:0:29 |3.17812|0.01050
18/9/2018/ 0:0:30 |2.63437|0.00937
18/9/2018/ 0:0:31 |2.48437|0.01237
18/9/2018/ 0:0:32 |3.25312|0.01125
18/9/2018/ 0:0:33 |2.74687|0.01050
18/9/2018/ 0:0:34 |2.48437|0.01388
18/9/2018/ 0:0:35 |3.01875|0.01050
18/9/2018/ 0:0:36 |3.10312|0.00900
18/9/2018/ 0:0:37 |2.49375|0.01312
18/9/2018/ 0:0:38 |2.89687|0.01087
18/9/2018/ 0:0:39 |3.19687|0.00975
18/9/2018/ 0:0:40 |2.51250|0.00937
18/9/2018/ 0:0:41 |2.74687|0.01275
18/9/2018/ 0:0:42 |3.18750|0.01012
18/9/2018/ 0:0:43 |2.93437|0.01237
18/9/2018/ 0:0:44 |2.45625|0.01050
18/9/2018/ 0:0:45 |2.77500|0.01237
18/9/2018/ 0:0:46 |3.15000|0.01200
18/9/2018/ 0:0:47 |2.46562|0.01125
18/9/2018/ 0:0:48 |2.78437|0.01350
18/9/2018/ 0:0:49 |2.96250|0.01425
18/9/2018/ 0:0:50 |2.52187|0.01275
18/9/2018/ 0:0:51 |2.85937|0.01163
18/9/2018/ 0:0:52 |3.01875|0.01125
18/9/2018/ 0:0:53 |2.53125|0.01275
18/9/2018/ 0:0:54 |2.89687|0.01200
18/9/2018/ 0:0:55 |2.99062|0.00900
18/9/2018/ 0:0:56 |2.58750|0.01312
18/9/2018/ 0:0:57 |2.81250|0.01312
18/9/2018/ 0:0:58 |3.24375|0.01012
18/9/2018/ 0:0:59 |2.93437|0.01050
18/9/2018/ 0:1:0 |2.47500|0.01125
18/9/2018/ 0:1:1 |3.20625|0.01087
18/9/2018/ 0:1:2 |2.87812|0.01087
18/9/2018/ 0:1:3 |2.46562|0.00975
18/9/2018/ 0:1:4 |3.18750|0.01050
18/9/2018/ 0:1:5 |2.81250|0.00975
18/9/2018/ 0:1:6 |2.60625|0.01312
18/9/2018/ 0:1:7 |3.15937|0.00900
18/9/2018/ 0:1:8 |2.57812|0.01163
18/9/2018/ 0:1:9 |2.68125|0.01050
18/9/2018/ 0:1:10 |2.70937|0.01163
18/9/2018/ 0:1:11 |3.23437|0.00975
18/9/2018/ 0:1:12 |2.54062|0.01200
18/9/2018/ 0:1:13 |2.58750|0.01388
18/9/2018/ 0:1:14 |3.15000|0.00975
18/9/2018/ 0:1:15 |2.67187|0.01087
18/9/2018/ 0:1:16 |2.75625|0.01312
18/9/2018/ 0:1:17 |2.89687|0.01012
18/9/2018/ 0:1:18 |2.55000|0.01388
18/9/2018/ 0:1:19 |3.03750|0.01050
18/9/2018/ 0:1:20 |3.21562|0.00937
18/9/2018/ 0:1:21 |2.49375|0.01388
18/9/2018/ 0:1:22 |3.25312|0.01275
18/9/2018/ 0:1:23 |2.98125|0.01237
18/9/2018/ 0:1:24 |2.46562|0.01350
18/9/2018/ 0:1:25 |3.08437|0.01050
18/9/2018/ 0:1:26 |2.84062|0.01087
18/9/2018/ 0:1:27 |2.53125|0.01237
18/9/2018/ 0:1:28 |3.02812|0.01237
18/9/2018/ 0:1:29 |3.13125|0.00900
18/9/2018/ 0:1:30 |2.44687|0.01425
18/9/2018/ 0:1:31 |2.73750|0.01050
18/9/2018/ 0:1:32 |2.95312|0.01163
18/9/2018/ 0:1:33 |2.47500|0.01312
18/9/2018/ 0:1:34 |3.17812|0.01163
18/9/2018/ 0:1:35 |2.74687|0.01050
18/9/2018/ 0:1:36 |2.65312|0.01312
18/9/2018/ 0:1:37 |3.25312|0.01050
18/9/2018/ 0:1:38 |2.58750|0.01350
18/9/2018/ 0:1:39 |2.94375|0.01275
18/9/2018/ 0:1:40 |3.11250|0.01012
18/9/2018/ 0:1:41 |2.43750|0.01350
18/9/2018/ 0:1:42 |2.68125|0.01125
18/9/2018/ 0:1:43 |3.30000|0.01012
18/9/2018/ 0:1:44 |2.60625|0.01425
18/9/2018/ 0:1:45 |2.97187|0.01200
18/9/2018/ 0:1:46 |3.20625|0.00975
18/9/2018/ 0:1:47 |2.50312|0.01237
18/9/2018/ 0:1:48 |2.82187|0.01275
18/9/2018/ 0:1:49 |3.00000|0.01087
18/9/2018/ 0:1:50 |2.48437|0.01163
18/9/2018/ 0:1:51 |3.13125|0.01125
18/9/2018/ 0:1:52 |2.68125|0.01087
18/9/2018/ 0:1:53 |2.55000|0.01350
18/9/2018/ 0:1:54 |3.16875|0.01050
18/9/2018/ 0:1:55 |2.63437|0.00862
18/9/2018/ 0:1:56 |2.79375|0.01125
18/9/2018/ 0:1:57 |2.90625|0.01200
18/9/2018/ 0:1:58 |3.08437|0.01087
18/9/2018/ 0:1:59 |3.24375|0.01163
18/9/2018/ 0:2:0 |2.75625|0.01050
18/9/2018/ 0:2:1 |2.53125|0.01350
18/9/2018/ 0:2:2 |2.60625|0.01237
18/9/2018/ 0:2:3 |2.76562|0.01200
18/9/2018/ 0:2:4 |3.23437|0.01087
18/9/2018/ 0:2:5 |3.00000|0.01087
18/9/2018/ 0:2:6 |2.56875|0.01350
18/9/2018/ 0:2:7 |2.57812|0.01163
18/9/2018/ 0:2:8 |2.81250|0.01050
18/9/2018/ 0:2:9 |3.18750|0.00975
18/9/2018/ 0:2:10 |2.75625|0.01050
18/9/2018/ 0:2:11 |2.61562|0.01275
18/9/2018/ 0:2:12 |2.56875|0.01087
18/9/2018/ 0:2:13 |3.00937|0.01125
18/9/2018/ 0:2:14 |3.23437|0.00937
18/9/2018/ 0:2:15 |2.64375|0.01087
