DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
17/9/2018/ 0:0:0 |2.40000|0.01125
17/9/2018/ 0:0:1 |2.86875|0.00900
17/9/2018/ 0:0:2 |2.48437|0.01388
17/9/2018/ 0:0:3 |2.37187|0.01312
17/9/2018/ 0:0:4 |3.00000|0.01125
17/9/2018/ 0:0:5 |2.81250|0.01125
17/9/2018/ 0:0:6 |2.50312|0.00937
17/9/2018/ 0:0:7 |2.45625|0.01350
17/9/2018/ 0:0:8 |3.05625|0.01050
17/9/2018/ 0:0:9 |2.85937|0.01237
17/9/2018/ 0:0:10 |2.38125|0.01388
17/9/2018/ 0:0:11 |2.78437|0.01200
17/9/2018/ 0:0:12 |2.80312|0.00900
17/9/2018/ 0:0:13 |2.49375|0.01050
17/9/2018/ 0:0:14 |2.38125|0.01125
17/9/2018/ 0:0:15 |3.00000|0.00975
17/9/2018/ 0:0:16 |2.94375|0.00900
17/9/2018/ 0:0:17 |2.31562|0.01312
17/9/2018/ 0:0:18 |3.05625|0.01125
17/9/2018/ 0:0:19 |2.84062|0.01163
17/9/2018/ 0:0:20 |2.35312|0.01125
17/9/2018/ 0:0:21 |2.80312|0.01087
17/9/2018/ 0:0:22 |2.63437|0.01163
17/9/2018/ 0:0:23 |2.37187|0.01237
17/9/2018/ 0:0:24 |2.85000|0.01650
17/9/2018/ 0:0:25 |2.69062|0.01087
17/9/2018/ 0:0:26 |2.36250|0.01163
17/9/2018/ 0:0:27 |2.76562|0.01200
17/9/2018/ 0:0:28 |3.04687|0.01012
17/9/2018/ 0:0:29 |2.47500|0.01388
17/9/2018/ 0:0:30 |2.37187|0.01350
17/9/2018/ 0:0:31 |2.94375|0.01012
17/9/2018/ 0:0:32 |2.46562|0.00975
17/9/2018/ 0:0:33 |2.42812|0.01050
17/9/2018/ 0:0:34 |2.97187|0.00937
17/9/2018/ 0:0:35 |2.49375|0.01388
17/9/2018/ 0:0:36 |2.45625|0.01200
17/9/2018/ 0:0:37 |2.94375|0.00975
17/9/2018/ 0:0:38 |2.53125|0.00975
17/9/2018/ 0:0:39 |2.44687|0.01350
17/9/2018/ 0:0:40 |2.98125|0.00862
17/9/2018/ 0:0:41 |2.46562|0.01650
17/9/2018/ 0:0:42 |2.47500|0.01388
17/9/2018/ 0:0:43 |3.10312|0.01275
17/9/2018/ 0:0:44 |2.86875|0.00900
17/9/2018/ 0:0:45 |2.32500|0.01350
17/9/2018/ 0:0:46 |3.00000|0.01163
17/9/2018/ 0:0:47 |2.85937|0.00937
17/9/2018/ 0:0:48 |2.32500|0.01237
17/9/2018/ 0:0:49 |2.97187|0.01163
17/9/2018/ 0:0:50 |2.80312|0.00862
17/9/2018/ 0:0:51 |2.27812|0.01237
17/9/2018/ 0:0:52 |2.61562|0.01237
17/9/2018/ 0:0:53 |2.77500|0.00900
17/9/2018/ 0:0:54 |2.35312|0.01388
17/9/2018/ 0:0:55 |2.59687|0.01275
17/9/2018/ 0:0:56 |2.88750|0.00900
17/9/2018/ 0:0:57 |2.32500|0.01275
17/9/2018/ 0:0:58 |2.33437|0.01050
17/9/2018/ 0:0:59 |2.90625|0.01050
17/9/2018/ 0:1:0 |2.50312|0.01012
17/9/2018/ 0:1:1 |2.33437|0.01350
17/9/2018/ 0:1:2 |3.02812|0.01163
17/9/2018/ 0:1:3 |2.65312|0.01050
17/9/2018/ 0:1:4 |2.34375|0.01237
17/9/2018/ 0:1:5 |2.87812|0.00975
17/9/2018/ 0:1:6 |2.73750|0.01163
17/9/2018/ 0:1:7 |2.34375|0.01237
17/9/2018/ 0:1:8 |2.79375|0.01237
17/9/2018/ 0:1:9 |2.93437|0.00900
17/9/2018/ 0:1:10 |2.43750|0.01163
17/9/2018/ 0:1:11 |2.63437|0.01163
17/9/2018/ 0:1:12 |3.02812|0.01050
17/9/2018/ 0:1:13 |2.72812|0.01125
17/9/2018/ 0:1:14 |2.29687|0.01087
17/9/2018/ 0:1:15 |2.69062|0.01237
17/9/2018/ 0:1:16 |2.85000|0.00975
17/9/2018/ 0:1:17 |2.32500|0.01275
17/9/2018/ 0:1:18 |2.55000|0.01163
17/9/2018/ 0:1:19 |2.91562|0.00937
17/9/2018/ 0:1:20 |2.35312|0.01237
17/9/2018/ 0:1:21 |2.58750|0.01237
17/9/2018/ 0:1:22 |2.91562|0.00937
17/9/2018/ 0:1:23 |2.34375|0.01237
17/9/2018/ 0:1:24 |2.71875|0.01050
17/9/2018/ 0:1:25 |2.70000|0.01125
17/9/2018/ 0:1:26 |2.37187|0.01312
17/9/2018/ 0:1:27 |2.50312|0.01350
17/9/2018/ 0:1:28 |2.99062|0.00900
17/9/2018/ 0:1:29 |2.45625|0.00900
17/9/2018/ 0:1:30 |2.56875|0.01200
17/9/2018/ 0:1:31 |2.87812|0.00862
17/9/2018/ 0:1:32 |2.48437|0.01275
17/9/2018/ 0:1:33 |2.72812|0.01125
17/9/2018/ 0:1:34 |2.67187|0.01200
17/9/2018/ 0:1:35 |2.39062|0.01200
17/9/2018/ 0:1:36 |2.85937|0.01125
17/9/2018/ 0:1:37 |2.73750|0.01050
17/9/2018/ 0:1:38 |2.35312|0.01350
17/9/2018/ 0:1:39 |2.97187|0.00975
17/9/2018/ 0:1:40 |2.87812|0.00862
17/9/2018/ 0:1:41 |2.34375|0.01163
17/9/2018/ 0:1:42 |2.54062|0.01350
17/9/2018/ 0:1:43 |2.87812|0.00900
17/9/2018/ 0:1:44 |2.45625|0.01388
17/9/2018/ 0:1:45 |2.79375|0.01237
17/9/2018/ 0:1:46 |2.95312|0.00862
17/9/2018/ 0:1:47 |2.35312|0.01200
17/9/2018/ 0:1:48 |3.09375|0.01125
17/9/2018/ 0:1:49 |2.83125|0.01163
17/9/2018/ 0:1:50 |2.36250|0.01312
17/9/2018/ 0:1:51 |3.06562|0.00937
17/9/2018/ 0:1:52 |2.55000|0.00975
17/9/2018/ 0:1:53 |2.55000|0.01312
17/9/2018/ 0:1:54 |2.34375|0.01200
17/9/2018/ 0:1:55 |3.08437|0.01012
17/9/2018/ 0:1:56 |2.51250|0.00975
17/9/2018/ 0:1:57 |2.35312|0.01275
17/9/2018/ 0:1:58 |2.31562|0.01163
17/9/2018/ 0:1:59 |2.69062|0.01200
17/9/2018/ 0:2:0 |2.98125|0.00900
17/9/2018/ 0:2:1 |2.79375|0.00937
17/9/2018/ 0:2:2 |2.43750|0.00975
17/9/2018/ 0:2:3 |2.38125|0.01200
17/9/2018/ 0:2:4 |3.01875|0.01012
17/9/2018/ 0:2:5 |2.77500|0.00937
17/9/2018/ 0:2:6 |2.73750|0.01087
17/9/2018/ 0:2:7 |2.39062|0.01237
17/9/2018/ 0:2:8 |2.44687|0.01012
17/9/2018/ 0:2:9 |3.00000|0.01163
17/9/2018/ 0:2:10 |3.01875|0.00937
17/9/2018/ 0:2:11 |2.86875|0.00900
17/9/2018/ 0:2:12 |2.63437|0.01087
17/9/2018/ 0:2:13 |2.37187|0.01200
17/9/2018/ 0:2:14 |2.42812|0.01087
17/9/2018/ 0:2:15 |2.92500|0.01012
17/9/2018/ 0:2:16 |3.04687|0.00900
17/9/2018/ 0:2:17 |2.87812|0.00937
17/9/2018/ 0:2:18 |2.39062|0.00975
17/9/2018/ 0:2:19 |2.33437|0.01237
17/9/2018/ 0:2:20 |2.49375|0.01350
17/9/2018/ 0:2:21 |3.00937|0.01125
17/9/2018/ 0:2:22 |2.94375|0.01087
17/9/2018/ 0:2:23 |2.66250|0.00787
17/9/2018/ 0:2:24 |2.43750|0.01275
17/9/2018/ 0:2:25 |2.36250|0.01050
17/9/2018/ 0:2:26 |2.44687|0.01312
17/9/2018/ 0:2:27 |2.70000|0.01163
17/9/2018/ 0:2:28 |3.00937|0.00975
17/9/2018/ 0:2:29 |2.52187|0.01012
17/9/2018/ 0:2:30 |2.34375|0.01388
17/9/2018/ 0:2:31 |2.56875|0.01312
17/9/2018/ 0:2:32 |2.94375|0.00900
17/9/2018/ 0:2:33 |2.90625|0.00900
17/9/2018/ 0:2:34 |2.31562|0.00975
17/9/2018/ 0:2:35 |2.37187|0.01050
17/9/2018/ 0:2:36 |2.98125|0.01050
17/9/2018/ 0:2:37 |2.96250|0.00937
17/9/2018/ 0:2:38 |2.53125|0.01012
17/9/2018/ 0:2:39 |2.30625|0.01200
17/9/2018/ 0:2:40 |2.49375|0.01312
17/9/2018/ 0:2:41 |2.70937|0.01237
17/9/2018/ 0:2:42 |3.02812|0.00900
17/9/2018/ 0:2:43 |2.87812|0.00862
17/9/2018/ 0:2:44 |2.42812|0.00900
17/9/2018/ 0:2:45 |2.36250|0.01163
17/9/2018/ 0:2:46 |2.70937|0.01125
17/9/2018/ 0:2:47 |2.97187|0.00937
17/9/2018/ 0:2:48 |2.86875|0.00862
17/9/2018/ 0:2:49 |2.42812|0.00900
17/9/2018/ 0:2:50 |2.33437|0.01237
17/9/2018/ 0:2:51 |2.73750|0.01125
17/9/2018/ 0:2:52 |2.95312|0.00975
17/9/2018/ 0:2:53 |2.80312|0.00862
17/9/2018/ 0:2:54 |2.47500|0.00975
17/9/2018/ 0:2:55 |2.46562|0.01050
17/9/2018/ 0:2:56 |2.34375|0.01275
17/9/2018/ 0:2:57 |2.73750|0.01125
17/9/2018/ 0:2:58 |2.96250|0.00900
17/9/2018/ 0:2:59 |2.89687|0.00900
17/9/2018/ 0:3:0 |2.48437|0.01012
17/9/2018/ 0:3:1 |2.34375|0.01275
17/9/2018/ 0:3:2 |2.84062|0.01087
17/9/2018/ 0:3:3 |3.02812|0.01012
17/9/2018/ 0:3:4 |2.70937|0.01050
17/9/2018/ 0:3:5 |2.38125|0.01237
17/9/2018/ 0:3:6 |2.48437|0.01275
17/9/2018/ 0:3:7 |3.03750|0.01050
17/9/2018/ 0:3:8 |2.91562|0.00975
17/9/2018/ 0:3:9 |2.41875|0.00975
17/9/2018/ 0:3:10 |2.34375|0.01388
17/9/2018/ 0:3:11 |2.53125|0.01275
17/9/2018/ 0:3:12 |3.02812|0.01012
17/9/2018/ 0:3:13 |2.54062|0.00937
17/9/2018/ 0:3:14 |2.43750|0.01650
17/9/2018/ 0:3:15 |2.43750|0.01388
17/9/2018/ 0:3:16 |3.01875|0.01087
17/9/2018/ 0:3:17 |2.65312|0.01087
17/9/2018/ 0:3:18 |2.33437|0.01350
17/9/2018/ 0:3:19 |2.39062|0.01312
17/9/2018/ 0:3:20 |2.98125|0.01163
17/9/2018/ 0:3:21 |2.85937|0.01200
17/9/2018/ 0:3:22 |2.40000|0.01388
17/9/2018/ 0:3:23 |2.31562|0.01350
17/9/2018/ 0:3:24 |2.63437|0.01275
17/9/2018/ 0:3:25 |2.85937|0.01087
17/9/2018/ 0:3:26 |2.89687|0.00975
17/9/2018/ 0:3:27 |2.45625|0.00975
17/9/2018/ 0:3:28 |2.31562|0.01275
17/9/2018/ 0:3:29 |2.39062|0.00825
17/9/2018/ 0:3:30 |2.96250|0.01050
17/9/2018/ 0:3:31 |2.86875|0.01012
