DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
14/9/2018/ 0:0:0 |1.26563|0.01463
14/9/2018/ 0:0:1 |1.74375|0.00975
14/9/2018/ 0:0:2 |1.21875|0.01163
14/9/2018/ 0:0:3 |1.77188|0.00975
14/9/2018/ 0:0:4 |1.19063|0.01312
14/9/2018/ 0:0:5 |1.71562|0.00975
14/9/2018/ 0:0:6 |1.19063|0.01350
14/9/2018/ 0:0:7 |1.88437|0.01275
14/9/2018/ 0:0:8 |1.20000|0.01350
14/9/2018/ 0:0:9 |1.73437|0.01237
14/9/2018/ 0:0:10 |1.14375|0.01388
14/9/2018/ 0:0:11 |1.68750|0.01050
14/9/2018/ 0:0:12 |1.19063|0.01463
14/9/2018/ 0:0:13 |1.78125|0.01050
14/9/2018/ 0:0:14 |1.20000|0.01537
14/9/2018/ 0:0:15 |1.64062|0.01163
14/9/2018/ 0:0:16 |1.34062|0.01087
14/9/2018/ 0:0:17 |1.76250|0.01388
14/9/2018/ 0:0:18 |1.18125|0.01763
14/9/2018/ 0:0:19 |1.77188|0.00975
14/9/2018/ 0:0:20 |1.17188|0.01312
14/9/2018/ 0:0:21 |1.45312|0.01163
14/9/2018/ 0:0:22 |1.27500|0.01125
14/9/2018/ 0:0:23 |1.66875|0.00975
14/9/2018/ 0:0:24 |1.43437|0.01275
14/9/2018/ 0:0:25 |1.50000|0.01050
14/9/2018/ 0:0:26 |1.72500|0.01125
14/9/2018/ 0:0:27 |1.29375|0.00975
14/9/2018/ 0:0:28 |1.46250|0.01312
14/9/2018/ 0:0:29 |1.43437|0.01050
14/9/2018/ 0:0:30 |1.72500|0.00900
14/9/2018/ 0:0:31 |1.22812|0.00937
14/9/2018/ 0:0:32 |1.63125|0.01163
14/9/2018/ 0:0:33 |1.18125|0.01500
14/9/2018/ 0:0:34 |1.72500|0.01087
14/9/2018/ 0:0:35 |1.20000|0.01388
14/9/2018/ 0:0:36 |1.69687|0.00975
14/9/2018/ 0:0:37 |1.20938|0.01275
14/9/2018/ 0:0:38 |1.45312|0.01163
14/9/2018/ 0:0:39 |1.38750|0.01275
14/9/2018/ 0:0:40 |1.31250|0.01388
14/9/2018/ 0:0:41 |1.73437|0.01463
14/9/2018/ 0:0:42 |1.18125|0.01275
14/9/2018/ 0:0:43 |1.70625|0.01050
14/9/2018/ 0:0:44 |1.18125|0.01275
14/9/2018/ 0:0:45 |1.79062|0.01050
14/9/2018/ 0:0:46 |1.18125|0.01463
14/9/2018/ 0:0:47 |1.61250|0.01200
14/9/2018/ 0:0:48 |1.31250|0.01537
14/9/2018/ 0:0:49 |1.34062|0.01050
14/9/2018/ 0:0:50 |1.57500|0.01125
14/9/2018/ 0:0:51 |1.22812|0.01425
14/9/2018/ 0:0:52 |1.73437|0.01087
14/9/2018/ 0:0:53 |1.24687|0.01463
14/9/2018/ 0:0:54 |1.74375|0.01012
14/9/2018/ 0:0:55 |1.17188|0.01425
14/9/2018/ 0:0:56 |1.65000|0.00975
14/9/2018/ 0:0:57 |1.20000|0.01350
14/9/2018/ 0:0:58 |1.80000|0.01012
14/9/2018/ 0:0:59 |1.16250|0.01500
14/9/2018/ 0:1:0 |1.54687|0.00975
14/9/2018/ 0:1:1 |1.22812|0.01312
14/9/2018/ 0:1:2 |1.71562|0.01163
14/9/2018/ 0:1:3 |1.29375|0.01350
14/9/2018/ 0:1:4 |1.57500|0.00937
14/9/2018/ 0:1:5 |1.41562|0.01312
14/9/2018/ 0:1:6 |1.47188|0.01087
14/9/2018/ 0:1:7 |1.67813|0.01688
14/9/2018/ 0:1:8 |1.32187|0.01087
14/9/2018/ 0:1:9 |1.51875|0.01163
14/9/2018/ 0:1:10 |1.25625|0.01275
14/9/2018/ 0:1:11 |1.72500|0.01163
14/9/2018/ 0:1:12 |1.17188|0.01350
14/9/2018/ 0:1:13 |1.54687|0.01388
14/9/2018/ 0:1:14 |1.26563|0.01463
14/9/2018/ 0:1:15 |1.77188|0.01312
14/9/2018/ 0:1:16 |1.14375|0.01275
14/9/2018/ 0:1:17 |1.78125|0.01012
14/9/2018/ 0:1:18 |1.17188|0.01463
14/9/2018/ 0:1:19 |1.81875|0.01125
14/9/2018/ 0:1:20 |1.22812|0.01163
14/9/2018/ 0:1:21 |1.49063|0.01087
14/9/2018/ 0:1:22 |1.38750|0.01012
14/9/2018/ 0:1:23 |1.30313|0.01125
14/9/2018/ 0:1:24 |1.75313|0.01087
14/9/2018/ 0:1:25 |1.20000|0.01463
14/9/2018/ 0:1:26 |1.81875|0.01012
14/9/2018/ 0:1:27 |1.24687|0.01163
14/9/2018/ 0:1:28 |1.69687|0.00975
14/9/2018/ 0:1:29 |1.19063|0.01163
14/9/2018/ 0:1:30 |1.53750|0.01125
