DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
19/9/2018/ 0:0:0 |3.02812|0.00937
19/9/2018/ 0:0:1 |2.45625|0.01388
19/9/2018/ 0:0:2 |3.19687|0.01050
19/9/2018/ 0:0:3 |2.60625|0.00975
19/9/2018/ 0:0:4 |2.57812|0.01312
19/9/2018/ 0:0:5 |3.15000|0.01237
19/9/2018/ 0:0:6 |2.66250|0.00975
19/9/2018/ 0:0:7 |2.62500|0.01012
19/9/2018/ 0:0:8 |3.05625|0.00900
19/9/2018/ 0:0:9 |2.64375|0.01012
19/9/2018/ 0:0:10 |2.73750|0.01200
19/9/2018/ 0:0:11 |3.04687|0.00937
19/9/2018/ 0:0:12 |2.65312|0.01012
19/9/2018/ 0:0:13 |2.82187|0.01312
19/9/2018/ 0:0:14 |3.20625|0.00975
19/9/2018/ 0:0:15 |2.74687|0.01050
19/9/2018/ 0:0:16 |2.53125|0.01350
19/9/2018/ 0:0:17 |3.17812|0.00937
19/9/2018/ 0:0:18 |2.67187|0.01050
19/9/2018/ 0:0:19 |2.58750|0.01350
19/9/2018/ 0:0:20 |3.15000|0.01050
19/9/2018/ 0:0:21 |2.64375|0.01087
19/9/2018/ 0:0:22 |2.70937|0.01312
19/9/2018/ 0:0:23 |3.19687|0.00975
19/9/2018/ 0:0:24 |2.60625|0.01312
19/9/2018/ 0:0:25 |2.88750|0.01163
19/9/2018/ 0:0:26 |3.21562|0.00975
19/9/2018/ 0:0:27 |2.54062|0.01388
19/9/2018/ 0:0:28 |2.56875|0.01350
19/9/2018/ 0:0:29 |3.14062|0.01087
19/9/2018/ 0:0:30 |2.55000|0.01087
19/9/2018/ 0:0:31 |2.53125|0.01350
19/9/2018/ 0:0:32 |3.10312|0.01125
19/9/2018/ 0:0:33 |2.75625|0.01125
19/9/2018/ 0:0:34 |2.52187|0.01200
19/9/2018/ 0:0:35 |3.14062|0.01087
19/9/2018/ 0:0:36 |2.75625|0.01050
19/9/2018/ 0:0:37 |2.50312|0.01237
19/9/2018/ 0:0:38 |3.15937|0.01125
19/9/2018/ 0:0:39 |2.72812|0.01050
19/9/2018/ 0:0:40 |2.47500|0.01388
19/9/2018/ 0:0:41 |3.22500|0.01050
19/9/2018/ 0:0:42 |2.67187|0.00937
19/9/2018/ 0:0:43 |2.60625|0.01425
19/9/2018/ 0:0:44 |2.88750|0.01237
19/9/2018/ 0:0:45 |2.87812|0.01163
19/9/2018/ 0:0:46 |2.41875|0.01312
19/9/2018/ 0:0:47 |3.19687|0.00975
19/9/2018/ 0:0:48 |2.65312|0.00937
19/9/2018/ 0:0:49 |2.45625|0.01200
19/9/2018/ 0:0:50 |3.11250|0.01050
19/9/2018/ 0:0:51 |2.57812|0.01312
19/9/2018/ 0:0:52 |2.60625|0.01275
19/9/2018/ 0:0:53 |3.11250|0.00937
19/9/2018/ 0:0:54 |2.60625|0.00975
19/9/2018/ 0:0:55 |2.89687|0.01163
19/9/2018/ 0:0:56 |2.84062|0.01050
19/9/2018/ 0:0:57 |2.39062|0.01350
19/9/2018/ 0:0:58 |2.70937|0.01275
19/9/2018/ 0:0:59 |3.03750|0.00975
19/9/2018/ 0:1:0 |2.56875|0.01163
19/9/2018/ 0:1:1 |2.99062|0.01237
19/9/2018/ 0:1:2 |2.78437|0.01087
19/9/2018/ 0:1:3 |2.45625|0.01425
19/9/2018/ 0:1:4 |3.16875|0.01012
19/9/2018/ 0:1:5 |2.66250|0.01163
19/9/2018/ 0:1:6 |2.45625|0.01350
19/9/2018/ 0:1:7 |2.95312|0.01012
19/9/2018/ 0:1:8 |2.55000|0.01050
19/9/2018/ 0:1:9 |2.46562|0.01275
19/9/2018/ 0:1:10 |3.15937|0.01012
19/9/2018/ 0:1:11 |2.66250|0.01050
19/9/2018/ 0:1:12 |2.50312|0.01275
19/9/2018/ 0:1:13 |2.89687|0.01237
19/9/2018/ 0:1:14 |3.13125|0.00975
19/9/2018/ 0:1:15 |2.48437|0.01425
19/9/2018/ 0:1:16 |2.93437|0.01087
19/9/2018/ 0:1:17 |3.12187|0.00900
19/9/2018/ 0:1:18 |2.52187|0.01350
19/9/2018/ 0:1:19 |2.99062|0.01163
19/9/2018/ 0:1:20 |2.98125|0.00900
19/9/2018/ 0:1:21 |2.41875|0.01350
19/9/2018/ 0:1:22 |3.04687|0.00975
19/9/2018/ 0:1:23 |3.04687|0.00937
19/9/2018/ 0:1:24 |2.42812|0.01087
19/9/2018/ 0:1:25 |2.73750|0.01125
19/9/2018/ 0:1:26 |2.91562|0.00900
19/9/2018/ 0:1:27 |2.57812|0.01087
19/9/2018/ 0:1:28 |2.71875|0.01125
