DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
10/9/2018/ 18:44:20 |2.31562|0.01500
10/9/2018/ 18:44:21 |2.59687|0.01087
10/9/2018/ 18:44:22 |2.55937|0.01425
10/9/2018/ 18:44:23 |2.34375|0.01200
10/9/2018/ 18:44:24 |3.00937|0.01237
10/9/2018/ 18:44:25 |2.29687|0.01500
10/9/2018/ 18:44:26 |3.21562|0.01050
10/9/2018/ 18:44:27 |2.23125|0.01463
10/9/2018/ 18:44:28 |2.70000|0.01613
10/9/2018/ 18:44:29 |2.54062|0.01275
10/9/2018/ 18:44:30 |2.36250|0.01500
10/9/2018/ 18:44:31 |3.05625|0.01125
10/9/2018/ 18:44:32 |2.23125|0.01463
10/9/2018/ 18:44:33 |3.07500|0.01087
10/9/2018/ 18:44:34 |2.22187|0.01275
10/9/2018/ 18:44:35 |2.73750|0.01125
10/9/2018/ 18:44:36 |2.43750|0.01575
10/9/2018/ 18:44:37 |2.47500|0.01087
10/9/2018/ 18:44:38 |2.96250|0.01913
10/9/2018/ 18:44:39 |2.22187|0.01537
10/9/2018/ 18:44:40 |3.02812|0.01200
10/9/2018/ 18:44:41 |2.31562|0.01537
10/9/2018/ 18:44:42 |2.50312|0.01087
10/9/2018/ 18:44:43 |2.94375|0.01312
10/9/2018/ 18:44:44 |2.27812|0.01425
10/9/2018/ 18:44:45 |3.03750|0.00937
10/9/2018/ 18:44:46 |2.71875|0.01163
10/9/2018/ 18:44:47 |2.77500|0.01125
10/9/2018/ 18:44:48 |3.01875|0.01200
10/9/2018/ 18:44:49 |2.28750|0.01200
10/9/2018/ 18:44:50 |3.12187|0.01012
10/9/2018/ 18:44:51 |2.51250|0.01463
10/9/2018/ 18:44:52 |2.57812|0.01050
10/9/2018/ 18:44:53 |3.19687|0.01012
10/9/2018/ 18:44:54 |2.24062|0.01275
10/9/2018/ 18:44:55 |2.75625|0.01012
10/9/2018/ 18:44:56 |2.86875|0.01163
10/9/2018/ 18:44:57 |2.35312|0.01350
10/9/2018/ 18:44:58 |3.04687|0.00937
10/9/2018/ 18:44:59 |2.39062|0.01312
10/9/2018/ 18:45:0 |2.48437|0.01012
10/9/2018/ 18:45:1 |2.52187|0.01388
10/9/2018/ 18:45:2 |2.34375|0.01425
10/9/2018/ 18:45:3 |3.19687|0.01125
10/9/2018/ 18:45:4 |2.39062|0.01350
10/9/2018/ 18:45:5 |2.74687|0.01163
10/9/2018/ 18:45:6 |2.51250|0.01312
10/9/2018/ 18:45:7 |2.35312|0.01312
10/9/2018/ 18:45:8 |3.11250|0.01050
10/9/2018/ 18:45:9 |2.30625|0.01050
10/9/2018/ 18:45:10 |2.91562|0.01388
10/9/2018/ 18:45:11 |2.76562|0.01312
10/9/2018/ 18:45:12 |2.46562|0.01087
10/9/2018/ 18:45:13 |2.90625|0.01237
10/9/2018/ 18:45:14 |2.23125|0.01350
10/9/2018/ 18:45:15 |2.93437|0.01200
10/9/2018/ 18:45:16 |2.24062|0.01275
10/9/2018/ 18:45:17 |3.09375|0.00975
10/9/2018/ 18:45:18 |2.47500|0.01388
10/9/2018/ 18:45:19 |2.78437|0.01012
10/9/2018/ 18:45:20 |2.95312|0.01125
10/9/2018/ 18:45:21 |2.33437|0.01275
10/9/2018/ 18:45:22 |3.04687|0.01237
10/9/2018/ 18:45:23 |2.28750|0.01388
10/9/2018/ 18:45:24 |3.00000|0.00937
