DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
11/9/2018/ 0:1:45 |1.83750|0.01012
11/9/2018/ 0:1:46 |1.35938|0.01425
11/9/2018/ 0:1:47 |1.71562|0.00900
11/9/2018/ 0:1:48 |1.29375|0.01200
11/9/2018/ 0:1:49 |1.66875|0.01200
11/9/2018/ 0:1:50 |1.69687|0.01125
11/9/2018/ 0:1:51 |1.36875|0.00937
11/9/2018/ 0:1:52 |1.86563|0.00975
11/9/2018/ 0:1:53 |1.25625|0.01087
11/9/2018/ 0:1:54 |1.53750|0.01650
11/9/2018/ 0:1:55 |1.55625|0.01688
11/9/2018/ 0:1:56 |1.28438|0.00975
11/9/2018/ 0:1:57 |1.59375|0.01200
11/9/2018/ 0:1:58 |1.25625|0.01200
11/9/2018/ 0:1:59 |1.84688|0.01050
11/9/2018/ 0:2:0 |1.37813|0.01425
11/9/2018/ 0:2:1 |1.82812|0.01125
11/9/2018/ 0:2:2 |1.36875|0.01163
11/9/2018/ 0:2:3 |1.43437|0.01913
11/9/2018/ 0:2:4 |1.43437|0.01087
11/9/2018/ 0:2:5 |1.25625|0.01125
11/9/2018/ 0:2:6 |1.78125|0.01050
11/9/2018/ 0:2:7 |1.26563|0.01087
11/9/2018/ 0:2:8 |1.74375|0.01012
11/9/2018/ 0:2:9 |1.35000|0.01050
11/9/2018/ 0:2:10 |1.33125|0.01425
11/9/2018/ 0:2:11 |1.72500|0.01012
11/9/2018/ 0:2:12 |1.30313|0.01275
11/9/2018/ 0:2:13 |1.50937|0.01237
11/9/2018/ 0:2:14 |1.45312|0.01050
11/9/2018/ 0:2:15 |1.24687|0.01087
11/9/2018/ 0:2:16 |1.85625|0.01012
11/9/2018/ 0:2:17 |1.32187|0.01050
11/9/2018/ 0:2:18 |1.60312|0.01163
11/9/2018/ 0:2:19 |1.54687|0.01200
11/9/2018/ 0:2:20 |1.27500|0.01463
11/9/2018/ 0:2:21 |1.84688|0.00975
11/9/2018/ 0:2:22 |1.38750|0.01575
11/9/2018/ 0:2:23 |1.76250|0.01200
11/9/2018/ 0:2:24 |1.42500|0.01050
11/9/2018/ 0:2:25 |1.32187|0.01200
11/9/2018/ 0:2:26 |1.74375|0.01163
11/9/2018/ 0:2:27 |1.53750|0.01087
11/9/2018/ 0:2:28 |1.46250|0.01275
11/9/2018/ 0:2:29 |1.48125|0.01125
11/9/2018/ 0:2:30 |1.27500|0.01350
11/9/2018/ 0:2:31 |1.93125|0.00975
11/9/2018/ 0:2:32 |1.31250|0.01087
11/9/2018/ 0:2:33 |1.69687|0.00975
11/9/2018/ 0:2:34 |1.68750|0.01163
11/9/2018/ 0:2:35 |1.32187|0.01163
11/9/2018/ 0:2:36 |1.77188|0.00937
11/9/2018/ 0:2:37 |1.25625|0.01312
11/9/2018/ 0:2:38 |1.79062|0.01125
11/9/2018/ 0:2:39 |1.53750|0.01012
11/9/2018/ 0:2:40 |1.43437|0.01275
11/9/2018/ 0:2:41 |1.84688|0.00975
11/9/2018/ 0:2:42 |1.41562|0.00975
11/9/2018/ 0:2:43 |1.59375|0.01275
11/9/2018/ 0:2:44 |1.65000|0.00937
11/9/2018/ 0:2:45 |1.29375|0.01275
11/9/2018/ 0:2:46 |1.84688|0.00937
11/9/2018/ 0:2:47 |1.45312|0.01537
11/9/2018/ 0:2:48 |1.65000|0.01875
11/9/2018/ 0:2:49 |1.76250|0.00975
11/9/2018/ 0:2:50 |1.29375|0.01537
11/9/2018/ 0:2:51 |1.84688|0.00975
11/9/2018/ 0:2:52 |1.42500|0.01050
11/9/2018/ 0:2:53 |1.59375|0.01125
