DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
20/9/2018/ 0:0:0 |2.17500|0.01350
20/9/2018/ 0:0:1 |2.85000|0.01125
20/9/2018/ 0:0:2 |2.43750|0.01200
20/9/2018/ 0:0:3 |2.27812|0.01650
20/9/2018/ 0:0:4 |2.85937|0.01125
20/9/2018/ 0:0:5 |2.25937|0.01163
20/9/2018/ 0:0:6 |2.47500|0.01275
20/9/2018/ 0:0:7 |2.82187|0.01012
20/9/2018/ 0:0:8 |2.21250|0.01425
20/9/2018/ 0:0:9 |2.80312|0.01125
20/9/2018/ 0:0:10 |2.68125|0.01200
20/9/2018/ 0:0:11 |2.15625|0.01312
20/9/2018/ 0:0:12 |2.74687|0.01087
20/9/2018/ 0:0:13 |2.41875|0.01087
20/9/2018/ 0:0:14 |2.12812|0.01425
20/9/2018/ 0:0:15 |2.59687|0.01237
20/9/2018/ 0:0:16 |2.38125|0.01087
20/9/2018/ 0:0:17 |2.25000|0.01350
20/9/2018/ 0:0:18 |2.77500|0.01125
20/9/2018/ 0:0:19 |2.29687|0.01425
20/9/2018/ 0:0:20 |2.59687|0.01163
20/9/2018/ 0:0:21 |2.70000|0.00975
20/9/2018/ 0:0:22 |2.16562|0.01913
20/9/2018/ 0:0:23 |2.84062|0.01012
20/9/2018/ 0:0:24 |2.36250|0.01050
20/9/2018/ 0:0:25 |2.35312|0.01237
20/9/2018/ 0:0:26 |2.87812|0.01050
20/9/2018/ 0:0:27 |2.21250|0.01688
20/9/2018/ 0:0:28 |2.34375|0.01388
20/9/2018/ 0:0:29 |2.63437|0.01312
20/9/2018/ 0:0:30 |2.14687|0.01500
20/9/2018/ 0:0:31 |2.82187|0.01125
20/9/2018/ 0:0:32 |2.47500|0.01050
20/9/2018/ 0:0:33 |2.27812|0.01650
20/9/2018/ 0:0:34 |2.74687|0.00900
20/9/2018/ 0:0:35 |2.25000|0.01350
20/9/2018/ 0:0:36 |2.76562|0.01163
20/9/2018/ 0:0:37 |2.35312|0.01012
20/9/2018/ 0:0:38 |2.19375|0.01312
20/9/2018/ 0:0:39 |2.88750|0.01012
20/9/2018/ 0:0:40 |2.17500|0.01463
20/9/2018/ 0:0:41 |2.39062|0.01350
20/9/2018/ 0:0:42 |2.66250|0.01237
20/9/2018/ 0:0:43 |2.24062|0.01388
20/9/2018/ 0:0:44 |2.18437|0.01425
20/9/2018/ 0:0:45 |2.79375|0.01163
20/9/2018/ 0:0:46 |2.32500|0.01087
20/9/2018/ 0:0:47 |2.17500|0.01463
20/9/2018/ 0:0:48 |2.71875|0.01163
20/9/2018/ 0:0:49 |2.26875|0.01500
20/9/2018/ 0:0:50 |2.25937|0.01312
20/9/2018/ 0:0:51 |2.79375|0.00975
20/9/2018/ 0:0:52 |2.18437|0.01463
20/9/2018/ 0:0:53 |2.53125|0.01200
20/9/2018/ 0:0:54 |2.54062|0.01125
20/9/2018/ 0:0:55 |2.15625|0.01425
20/9/2018/ 0:0:56 |2.84062|0.01125
20/9/2018/ 0:0:57 |2.30625|0.01087
20/9/2018/ 0:0:58 |2.18437|0.01763
20/9/2018/ 0:0:59 |2.82187|0.01163
20/9/2018/ 0:1:0 |2.26875|0.01050
20/9/2018/ 0:1:1 |2.19375|0.01463
20/9/2018/ 0:1:2 |2.75625|0.01237
20/9/2018/ 0:1:3 |2.16562|0.01875
20/9/2018/ 0:1:4 |2.53125|0.01200
20/9/2018/ 0:1:5 |2.54062|0.01125
20/9/2018/ 0:1:6 |2.25000|0.01312
20/9/2018/ 0:1:7 |2.85937|0.01163
20/9/2018/ 0:1:8 |2.30625|0.01163
20/9/2018/ 0:1:9 |2.26875|0.01500
20/9/2018/ 0:1:10 |2.85937|0.00975
20/9/2018/ 0:1:11 |2.17500|0.01388
20/9/2018/ 0:1:12 |2.49375|0.01875
20/9/2018/ 0:1:13 |2.75625|0.01012
20/9/2018/ 0:1:14 |2.23125|0.01388
20/9/2018/ 0:1:15 |2.38125|0.01350
