DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
13/9/2018/ 0:0:0 |1.63125|0.01163
13/9/2018/ 0:0:1 |1.60312|0.01163
13/9/2018/ 0:0:2 |1.27500|0.01725
13/9/2018/ 0:0:3 |1.79062|0.01275
13/9/2018/ 0:0:4 |1.08750|0.01688
13/9/2018/ 0:0:5 |1.67813|0.01200
13/9/2018/ 0:0:6 |1.13437|0.01537
13/9/2018/ 0:0:7 |1.62187|0.01012
13/9/2018/ 0:0:8 |1.31250|0.01350
13/9/2018/ 0:0:9 |1.35000|0.01125
13/9/2018/ 0:0:10 |1.73437|0.01763
13/9/2018/ 0:0:11 |1.18125|0.01800
13/9/2018/ 0:0:12 |1.72500|0.01087
13/9/2018/ 0:0:13 |1.11563|0.02100
13/9/2018/ 0:0:14 |1.72500|0.01125
13/9/2018/ 0:0:15 |1.11563|0.01425
13/9/2018/ 0:0:16 |1.65000|0.00975
13/9/2018/ 0:0:17 |1.31250|0.01350
13/9/2018/ 0:0:18 |1.35000|0.01125
13/9/2018/ 0:0:19 |1.65000|0.01125
13/9/2018/ 0:0:20 |1.10625|0.02213
13/9/2018/ 0:0:21 |1.73437|0.00975
13/9/2018/ 0:0:22 |1.18125|0.01350
13/9/2018/ 0:0:23 |1.50937|0.01237
13/9/2018/ 0:0:24 |1.55625|0.01537
13/9/2018/ 0:0:25 |1.20938|0.01425
13/9/2018/ 0:0:26 |1.58438|0.01163
13/9/2018/ 0:0:27 |1.07813|0.01500
13/9/2018/ 0:0:28 |1.59375|0.01650
13/9/2018/ 0:0:29 |1.11563|0.02250
13/9/2018/ 0:0:30 |1.78125|0.01463
13/9/2018/ 0:0:31 |1.19063|0.01463
13/9/2018/ 0:0:32 |1.55625|0.01200
13/9/2018/ 0:0:33 |1.43437|0.01275
13/9/2018/ 0:0:34 |1.32187|0.01425
13/9/2018/ 0:0:35 |1.36875|0.01725
13/9/2018/ 0:0:36 |1.68750|0.01575
13/9/2018/ 0:0:37 |1.21875|0.01463
13/9/2018/ 0:0:38 |1.70625|0.01275
13/9/2018/ 0:0:39 |1.12500|0.01537
13/9/2018/ 0:0:40 |1.66875|0.01012
13/9/2018/ 0:0:41 |1.33125|0.01350
13/9/2018/ 0:0:42 |1.34062|0.01163
13/9/2018/ 0:0:43 |1.35938|0.01350
13/9/2018/ 0:0:44 |1.30313|0.01050
13/9/2018/ 0:0:45 |1.75313|0.01125
13/9/2018/ 0:0:46 |1.09688|0.01463
13/9/2018/ 0:0:47 |1.56563|0.01388
13/9/2018/ 0:0:48 |1.22812|0.01388
13/9/2018/ 0:0:49 |1.41562|0.01087
13/9/2018/ 0:0:50 |1.80000|0.01275
13/9/2018/ 0:0:51 |1.08750|0.01312
13/9/2018/ 0:0:52 |1.72500|0.01012
13/9/2018/ 0:0:53 |1.28438|0.01500
13/9/2018/ 0:0:54 |1.27500|0.01087
13/9/2018/ 0:0:55 |1.56563|0.01050
13/9/2018/ 0:0:56 |1.08750|0.01463
13/9/2018/ 0:0:57 |1.39688|0.01125
13/9/2018/ 0:0:58 |1.16250|0.01388
13/9/2018/ 0:0:59 |1.33125|0.01163
13/9/2018/ 0:1:0 |1.45312|0.01312
13/9/2018/ 0:1:1 |1.32187|0.01087
13/9/2018/ 0:1:2 |1.58438|0.01275
13/9/2018/ 0:1:3 |1.08750|0.01237
13/9/2018/ 0:1:4 |1.63125|0.01575
13/9/2018/ 0:1:5 |1.12500|0.01350
13/9/2018/ 0:1:6 |1.25625|0.01838
13/9/2018/ 0:1:7 |1.43437|0.01200
13/9/2018/ 0:1:8 |1.25625|0.02063
